GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047047400,"Census Tract 474, Kings County, New York",male_75_79,28,33,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_80_84,26,24,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",male_85,17,18,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_total,1405,247,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_5y,178,105,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_5_9,132,91,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_10_14,80,51,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_15_17,91,55,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_18_19,42,35,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_20,30,30,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_21,23,26,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_22_24,36,38,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_25_29,62,47,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_30_34,77,58,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_35_39,90,54,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_40_44,21,24,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_45_49,56,39,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_50_54,59,50,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_55_59,77,50,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_60_61,77,55,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_62_64,48,32,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_65_66,22,27,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_67_69,56,43,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_70_74,37,36,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_75_79,45,36,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_80_84,38,31,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",female_85,28,33,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",total_race,2938,418,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",white_race,2938,418,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",black_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",aian_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",asian_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",nhpi_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",oth_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",mult_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",multoth_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",multnoth_race,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",total_eth,2938,418,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",nothisp_eth,2842,417,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",hisp_eth,96,79,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",total_hh_move,2869,401,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",same_hh,2655,419,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",move_instate_hh,0,123,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",move_ostate_hh,9,15,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",med_hhinc,36250,16875,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",total_hh,834,61,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",hh_oo,330,93,2009,2005-2009,Census Tract 474
36047047400,"Census Tract 474, Kings County, New York",hh_ro,504,98,2009,2005-2009,Census Tract 474
36047047600,"Census Tract 476, Kings County, New York",total,2969,330,2009,2005-2009,Census Tract 476
